id,temporada,carrera,posicion,piloto,equipo,parrilla,paradas,vuelta_rapida,tiempo,puntos,circuito,version,notas
162,1,4,2,DAVO,KICK Sauber,1,1,0,13.056,19,22,a3,null
161,1,4,1,CASTAN,Alpine,2,1,1,+3.323,25,22,a3,null
163,1,4,3,ALONSO,Aston Martin,4,1,1,+4.798,15,22,a3,null
164,1,4,4,TSUNODA,Visa Cash App RB,11,1,1,+13.362,12,22,a3,null
165,1,4,5,HAMILTON,Mercedes-AMG Petronas,3,1,1,+4.568,10,22,a3,null
166,1,4,6,HULKENBERG,Haas,13,1,1,"+0,100",8,22,a3,null
167,1,4,7,PÃ‰REZ,Red Bull,5,1,1,+5.146,6,22,a3,null
168,1,4,8,RUSSELL,Mercedes-AMG Petronas,4,1,1,+4.568,4,22,a3,null
169,1,4,9,VERSTAPPEN,Red Bull,6,1,1,+8.456,2,22,a3,null
170,1,4,10,BOTTAS,KICK Sauber,11,1,1,"+0,100",1,22,a3,null
171,1,4,11,RICCIARDO,Visa Cash App RB,20,1,1,"+0,100",0,22,a3,null
172,1,4,12,LECLERC,Scuderia Ferrari HP,12,1,1,"+0,100",0,22,a3,null
173,1,4,13,ALBON,Williams,8,1,1,+11.479,0,22,a3,null
174,1,4,14,GASLY,Alpine,9,1,1,+12.390,0,22,a3,null
175,1,4,15,SARGEANT,Williams,12,1,1,+11.479,0,22,a3,null
176,1,4,16,STROLL,Aston Martin,16,1,1,"+0,100",0,22,a3,null
177,1,4,17,MAGNUSSEN,Haas,18,1,1,"+0,100",0,22,a3,null
178,1,4,18,SAINZ,Scuderia Ferrari HP,19,1,1,"+0,100",0,22,a3,null
179,1,4,19,NORRIS,McLaren,7,1,1,+9.476,0,22,a3,null
180,1,4,20,ESPADA,McLaren,1,1,1,"+0,100",0,22,a3,null